,VH,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VHVV,VHVV_1,VHVV_2,VHVV_3,VHVV_4,VHVV_5,VHVV_6,VHVV_7,VHVV_8,VHVV_9,VHVV_10,VHVV_11,VHVV_12,VHVV_13
0,-18.03341755,-21.0059327,-23.03726707,-21.33827878,-18.79544889,-17.38585043,-19.00293518,-20.00366511,-19.51094989,-17.70167891,-17.02468862,-16.12392705,-15.1176559,-15.05687709,-6.704601415,-8.196048703,-10.27283864,-9.960258253,-7.069942452,-5.037419994,-7.264671826,-9.053607746,-7.855302351,-5.299752971,-4.310159587,-5.238055067,-5.825749645,-6.77391809
1,-16.80037152,-19.68146854,-21.90197767,-21.15635119,-19.35467724,-17.14108975,-18.13659051,-18.63559037,-19.26664646,-17.98193101,-17.23392927,-16.43853292,-16.57860136,-16.37209221,-6.816589074,-7.516468053,-9.665164834,-9.848368509,-7.885021258,-4.860848176,-6.140508052,-7.569657287,-7.598604594,-5.206663759,-4.141528922,-4.269503293,-5.261938729,-6.649071585
2,-15.18213091,-17.20400189,-19.47276309,-19.29926361,-17.56491747,-15.79208656,-16.15530955,-16.84562402,-17.36897519,-16.75666102,-16.29817535,-15.13086981,-14.55303175,-15.01319365,-6.547990555,-8.586307962,-10.26215316,-10.18146867,-7.954881587,-5.192164507,-5.750652057,-8.313589037,-8.376731876,-5.618559293,-3.637817734,-4.969713971,-5.967448327,-7.357708627
3,-14.93041334,-16.11521781,-18.7318414,-19.58190839,-18.10582333,-15.79942895,-17.12201894,-18.17453974,-18.55450135,-16.63544886,-15.94466222,-15.63983619,-14.73112498,-14.8599926,-6.226327287,-7.436143638,-8.640646252,-8.800418968,-7.092817724,-5.265996278,-6.235787548,-8.227552097,-8.099533302,-5.27983564,-3.818475046,-4.837180682,-6.046907557,-7.340846821
4,-16.01690328,-17.69808181,-19.57624942,-18.22359801,-17.7843509,-16.21791385,-16.85089175,-17.4814578,-18.19560324,-17.29850662,-16.48599409,-15.62492855,-15.09229374,-14.67749279,-6.683394004,-7.613657517,-8.694674728,-8.708706525,-7.320964282,-5.35699854,-6.377172582,-8.519407068,-8.279519196,-5.555669083,-3.897653146,-3.959235224,-4.877750407,-6.348070561
5,-16.118453,-17.18060489,-19.36352798,-19.5812409,-17.80533223,-16.21432875,-17.92606007,-18.75765319,-18.20276849,-16.30608999,-16.02041931,-15.47222573,-15.10898278,-14.85755882,-6.705586896,-7.743227007,-9.222460197,-9.090349887,-8.002772378,-6.368067197,-7.199472449,-7.872701783,-6.895962717,-4.566872802,-3.661778722,-4.42118133,-4.971417708,-5.813923415
6,-16.30948338,-18.37771749,-20.56642266,-19.42713586,-17.68925913,-15.86419335,-15.97311326,-16.8930375,-17.86612168,-17.28208976,-16.28744911,-15.22562399,-14.44992263,-14.72431399,-6.536961236,-7.942465004,-9.692120913,-9.879008724,-7.727014705,-5.772492265,-6.253381992,-8.258973511,-8.135190629,-5.98527933,-4.024183841,-5.244896309,-6.124901349,-7.67754431
7,-16.30777193,-17.07238528,-19.74084779,-20.78991063,-17.71985622,-15.26514818,-16.74028464,-18.15093557,-18.39611573,-16.95622086,-16.30203556,-14.97540664,-13.90081259,-13.60730472,-6.623837122,-7.740616859,-9.019621466,-9.33638139,-7.089991717,-4.823418126,-5.791304446,-7.707034998,-7.159770349,-4.284923243,-3.665509046,-4.528278305,-4.808234664,-4.955565186
8,-15.4647771,-17.0608683,-19.58495237,-19.97215153,-18.05493793,-16.17459297,-17.24590269,-17.79245769,-18.22574835,-16.66057716,-16.05658501,-15.53903928,-14.85234755,-14.99083518,-6.411520148,-7.53196723,-8.889022345,-9.216680634,-6.805327649,-5.0979405,-7.084708874,-8.564710592,-7.513575093,-5.090964867,-4.455556343,-5.235095552,-5.706614319,-6.502614349
9,-16.79279738,-18.8170051,-20.21379543,-19.7583929,-17.32516207,-15.38849418,-16.47714793,-17.75522801,-17.89443231,-16.62523811,-15.98046852,-14.88909846,-14.36224477,-14.81549673,-6.570592239,-7.549254122,-9.127006342,-9.302099113,-6.837013804,-4.829186091,-5.925675775,-7.769881529,-7.274317196,-5.558333638,-4.328394139,-5.090787067,-6.113186955,-7.530496954
